id,text,nivel,padre_id,padre_text,ruta,es_hoja
CPIE,"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND)",0,,,"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND)",False
DGMINASCPIE,D.G. MINAS (IND),1,CPIE,"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND)","CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > D.G. MINAS (IND)",False
CTEICUTRIAMIN,SERVICIO DE MINAS (IND),2,DGMINASCPIE,D.G. MINAS (IND),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > D.G. MINAS (IND) > SERVICIO DE MINAS (IND)",True
SECRCONSCPIE,SECRETARIA CONSEJERO (IND),1,CPIE,"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND)","CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SECRETARIA CONSEJERO (IND)",True
DGENERGIACHAP,S.G. ENERGÍA (IND),1,CPIE,"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND)","CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > S.G. ENERGÍA (IND)",False
CTDGE,CONSJERO TECNICO (IND),2,DGENERGIACHAP,S.G. ENERGÍA (IND),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > S.G. ENERGÍA (IND) > CONSJERO TECNICO (IND)",True
CTSUBDGE,CONSEJERO TECNICO SUBD (IND),2,DGENERGIACHAP,S.G. ENERGÍA (IND),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > S.G. ENERGÍA (IND) > CONSEJERO TECNICO SUBD (IND)",True
CTEICUTRIAYENE,SERVICIO DE ENERGIA (IND),2,DGENERGIACHAP,S.G. ENERGÍA (IND),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > S.G. ENERGÍA (IND) > SERVICIO DE ENERGIA (IND)",True
SVPLANPROY,SERVICIO PLANIFICACION Y PROYECTOS (IND),2,DGENERGIACHAP,S.G. ENERGÍA (IND),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > S.G. ENERGÍA (IND) > SERVICIO PLANIFICACION Y PROYECTOS (IND)",True
CTEICUSGINDYMIN,S.G. INDUSTRIA Y MINAS (IND),1,CPIE,"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND)","CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > S.G. INDUSTRIA Y MINAS (IND)",False
7981,SV. GESTION PROMOC. INDUSTRIAL (IND),2,CTEICUSGINDYMIN,S.G. INDUSTRIA Y MINAS (IND),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > S.G. INDUSTRIA Y MINAS (IND) > SV. GESTION PROMOC. INDUSTRIAL (IND)",True
9063,SV. INDICACIONES GEOGRAFICAS Y ORDENACION INDUSTRIAL (IND),2,CTEICUSGINDYMIN,S.G. INDUSTRIA Y MINAS (IND),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > S.G. INDUSTRIA Y MINAS (IND) > SV. INDICACIONES GEOGRAFICAS Y ORDENACION INDUSTRIAL (IND)",True
CTEICUSSVINSDU,SV. INDUSTRIA (IND),2,CTEICUSGINDYMIN,S.G. INDUSTRIA Y MINAS (IND),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > S.G. INDUSTRIA Y MINAS (IND) > SV. INDUSTRIA (IND)",True
CTEICUSGINDSPLA,SV. PLANIFICACION Y ANALISIS (IND),2,CTEICUSGINDYMIN,S.G. INDUSTRIA Y MINAS (IND),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > S.G. INDUSTRIA Y MINAS (IND) > SV. PLANIFICACION Y ANALISIS (IND)",True
SGTCPIE,SECRETARIA GENERAL TECNICA (IND),1,CPIE,"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND)","CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SECRETARIA GENERAL TECNICA (IND)",False
SVLYRCPIE,SERVICIO LEGISLACION Y RECURSOS (IND),2,SGTCPIE,SECRETARIA GENERAL TECNICA (IND),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SECRETARIA GENERAL TECNICA (IND) > SERVICIO LEGISLACION Y RECURSOS (IND)",True
SVPYAGCPIE,SERVICIO DE PERSONAL Y ADMINISTRACION GENERAL (IND),2,SGTCPIE,SECRETARIA GENERAL TECNICA (IND),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SECRETARIA GENERAL TECNICA (IND) > SERVICIO DE PERSONAL Y ADMINISTRACION GENERAL (IND)",True
SVPGEYCCPIE,SERVICIO PRESUPUESTOS GESTION EC Y CONT (IND),2,SGTCPIE,SECRETARIA GENERAL TECNICA (IND),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SECRETARIA GENERAL TECNICA (IND) > SERVICIO PRESUPUESTOS GESTION EC Y CONT (IND)",True
CTEICUSSPPAL,SERVICIOS PERIFERICOS AL (IND) (ALMERIA),1,CPIE,"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND)","CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS AL (IND) (ALMERIA)",False
CTEICUALSGPECEU,"SG PROVINCIAL ECONOMIA, CONOCIMIENTO, EMPRESAS Y UNIVERSIDAD (IND) (ALMERIA)",2,CTEICUSSPPAL,SERVICIOS PERIFERICOS AL (IND) (ALMERIA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS AL (IND) (ALMERIA) > SG PROVINCIAL ECONOMIA, CONOCIMIENTO, EMPRESAS Y UNIVERSIDAD (IND) (ALMERIA)",True
CTEICUALSVCEDT,SERVICIO DE COOPERACION ECONOMICA Y DESARROLLO TECNOLOGICO (IND) (ALMERIA),2,CTEICUSSPPAL,SERVICIOS PERIFERICOS AL (IND) (ALMERIA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS AL (IND) (ALMERIA) > SERVICIO DE COOPERACION ECONOMICA Y DESARROLLO TECNOLOGICO (IND) (ALMERIA)",True
SVENERGAL,SV. ENERGIA (IND) (ALMERIA),2,CTEICUSSPPAL,SERVICIOS PERIFERICOS AL (IND) (ALMERIA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS AL (IND) (ALMERIA) > SV. ENERGIA (IND) (ALMERIA)",True
,"SV. INDUSTRIA, ENERGIA Y MINAS (ALMERIA)",2,CTEICUSSPPAL,SERVICIOS PERIFERICOS AL (IND) (ALMERIA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS AL (IND) (ALMERIA) > SV. INDUSTRIA, ENERGIA Y MINAS (ALMERIA)",True
SVIMAL,SERVICIO DE INDUSTRIA Y MINAS (IND) (ALMERIA),2,CTEICUSSPPAL,SERVICIOS PERIFERICOS AL (IND) (ALMERIA),"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS (IND) > SERVICIOS PERIFERICOS AL (IND) (ALMERIA) > SERVICIO DE INDUSTRIA Y MINAS (IND) (ALMERIA)",False
